eightd_has_key_dispenser,station_type,electric_bike_surcharge_waiver,lat,lon,capacity,has_kiosk,short_name,name,externalId,stationId,legacyId,address
false,classic,false,41.79156801058,-87.6078521774,11,true,KA1503000075,DuSable Museum,a3ad7b51-a135-11e9-9cda-0a87ae2ba916,a3ad7b51-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,42.01213227742,-87.6829126443,11,true,RP-006,Ridge Blvd & Touhy Ave,a3af5804-a135-11e9-9cda-0a87ae2ba916,a3af5804-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.750794,-87.624424,11,true,573,State St & 79th St,a3b26acf-a135-11e9-9cda-0a87ae2ba916,a3b26acf-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.86649278172,-87.7064961757,11,true,15682,Kedzie Ave & Roosevelt Rd,a3adbedf-a135-11e9-9cda-0a87ae2ba916,a3adbedf-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.766,-87.611726,11,true,652,Rhodes Ave & 71st St,a3b46866-a135-11e9-9cda-0a87ae2ba916,a3b46866-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.80813391481,-87.6456165545,11,true,KA1503000051,Halsted St & 47th Pl,a3ad42c3-a135-11e9-9cda-0a87ae2ba916,a3ad42c3-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.89046879243862,-87.70260751247406,11,true,KA1504000113,Sacramento Blvd & Franklin Blvd,a3aca268-a135-11e9-9cda-0a87ae2ba916,a3aca268-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.789381,-87.596479,11,true,22002,Woodlawn Ave & 58th St,1850867138125484782,1850867138125484782,undefined,undefined
false,classic,false,41.917805,-87.682437,11,true,TA1309000029,Leavitt St & Armitage Ave,a3aa59bb-a135-11e9-9cda-0a87ae2ba916,a3aa59bb-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.765286,-87.621748,7,true,651,Michigan Ave & 71st St,61695579-2f75-4090-a071-c76079b5fb5d,61695579-2f75-4090-a071-c76079b5fb5d,undefined,undefined
false,classic,false,41.794087,-87.675478,11,true,557,Seeley Ave & Garfield Blvd,a3b218cd-a135-11e9-9cda-0a87ae2ba916,a3b218cd-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.89102331025185,-87.63547986745834,11,true,RN-,Franklin St & Illinois St,8995498f-1209-4b06-9317-01cd695b3b61,8995498f-1209-4b06-9317-01cd695b3b61,undefined,undefined
false,classic,false,41.780506,-87.586853,11,true,653B,Stony Island Ave & 63rd St,1754781885939323186,1754781885939323186,undefined,undefined
false,classic,false,41.849527,-87.640591,11,true,TA1308000014,Normal Ave & Archer Ave,a3a7d279-a135-11e9-9cda-0a87ae2ba916,a3a7d279-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.774074,-87.663815,7,true,16950,Ashland Ave & 66th St,a3b241df-a135-11e9-9cda-0a87ae2ba916,a3b241df-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,42.015963,-87.675005,11,true,517,Clark St & Jarvis Ave,a3b0d6ec-a135-11e9-9cda-0a87ae2ba916,a3b0d6ec-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.809719,-87.663477,11,true,16937,Ashland Ave & McDowell Ave,a3b1ff34-a135-11e9-9cda-0a87ae2ba916,a3b1ff34-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.823613,-87.650931,7,true,16933,Morgan St & Pershing Rd,a3b1eaa7-a135-11e9-9cda-0a87ae2ba916,a3b1eaa7-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.910044,-87.697167,11,true,13258,California Ave & North Ave,a3a9acc5-a135-11e9-9cda-0a87ae2ba916,a3a9acc5-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.875806,-87.755285,11,true,543,Laramie Ave & Gladys Ave,a3b1cf80-a135-11e9-9cda-0a87ae2ba916,a3b1cf80-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.961041,-87.705866,11,true,15621,Albany Ave & Montrose Ave,a3af9f99-a135-11e9-9cda-0a87ae2ba916,a3af9f99-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.7804056457,-87.5914159893,11,true,KA1503000046,Dorchester Ave & 63rd St,a3ad9ad9-a135-11e9-9cda-0a87ae2ba916,a3ad9ad9-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.743359762253235,-87.62284398078917,11,true,587,Wabash Ave & 83rd St,a3b2b419-a135-11e9-9cda-0a87ae2ba916,a3b2b419-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.877613,-87.745405,11,true,16913,Cicero Ave & Quincy St,a3b143aa-a135-11e9-9cda-0a87ae2ba916,a3b143aa-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.877917,-87.735737,11,true,545,Kostner Ave & Adams St,a3b1db23-a135-11e9-9cda-0a87ae2ba916,a3b1db23-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.758768,-87.56644,11,true,KA1503000024,Yates Blvd & 75th St,a3acfa38-a135-11e9-9cda-0a87ae2ba916,a3acfa38-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.79292964599,-87.6449900565,11,true,KA1503000011,Halsted St & 56th St,a3acd078-a135-11e9-9cda-0a87ae2ba916,a3acd078-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.756971,-87.624621,11,true,572,State St & 76th St,a3b2659d-a135-11e9-9cda-0a87ae2ba916,a3b2659d-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.99023602867,-87.6933696402,11,true,KA1504000130,Maplewood Ave & Peterson Ave,a3af1cec-a135-11e9-9cda-0a87ae2ba916,a3af1cec-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.809851,-87.616279,11,true,TA1308000007,MLK Jr Dr & 47th St,a3a7a4fc-a135-11e9-9cda-0a87ae2ba916,a3a7a4fc-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.98736,-87.77805,9,false,24480,Austin Ave & Milwaukee Ave,2038265780361703964,2038265780361703964,undefined,undefined
false,classic,false,41.8952089,-87.7174329,11,false,21301,Monticello Ave & Chicago Ave,1932128180709716638,1932128180709716638,undefined,undefined
false,classic,false,41.9924402,-87.7289072,11,false,24156,Granville Ave & Pulaski Rd,1932836901177930130,1932836901177930130,undefined,undefined
false,classic,false,41.70999,-87.5355,11,true,20223,Ewing Ave & Burnham Greenway,98fe78dc-4efa-4b39-a47c-0d94abcdb221,98fe78dc-4efa-4b39-a47c-0d94abcdb221,undefined,undefined
false,classic,false,41.884336,-87.658902,11,true,23001,Elizabeth St & Randolph St,1775509322900183222,1775509322900183222,undefined,undefined
false,classic,false,41.84910969176,-87.6951398068,11,true,15689,California Ave & 23rd Pl,a3ade2c3-a135-11e9-9cda-0a87ae2ba916,a3ade2c3-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.794853,-87.618691,11,true,TA1307000160,Prairie Ave & Garfield Blvd,a3a7b936-a135-11e9-9cda-0a87ae2ba916,a3a7b936-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.885502,-87.716866,11,true,518,Conservatory Dr & Lake St,a3b0dc1f-a135-11e9-9cda-0a87ae2ba916,a3b0dc1f-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.88085,-87.727907,11,true,534,Karlov Ave & Madison St,a3b128de-a135-11e9-9cda-0a87ae2ba916,a3b128de-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.747363,-87.580046,7,true,665,South Chicago Ave & Elliot Ave,a3b4aa91-a135-11e9-9cda-0a87ae2ba916,a3b4aa91-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.77372095205,-87.60563486,11,true,KA1503000031,Cottage Grove Ave & 67th St,a3ada002-a135-11e9-9cda-0a87ae2ba916,a3ada002-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.841707,-87.626938,11,true,13213,State St & 29th St,a3a781a6-a135-11e9-9cda-0a87ae2ba916,a3a781a6-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.76663823695,-87.5764501141,11,true,KA1503000018,Jeffery Blvd & 71st St,a3a3983e-a135-11e9-9cda-0a87ae2ba916,a3a3983e-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.868563,-87.686234,11,true,644,Western Ave & Fillmore St,a3b43eb7-a135-11e9-9cda-0a87ae2ba916,a3b43eb7-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.946264,-87.731023,11,true,KA1504000141,Pulaski Rd & Eddy St,a3afc858-a135-11e9-9cda-0a87ae2ba916,a3afc858-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.914166,-87.716755,11,true,18017,Central Park Ave & Bloomingdale Ave,a3b42f5f-a135-11e9-9cda-0a87ae2ba916,a3b42f5f-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.838198,-87.645143,11,true,TA1309000055,Emerald Ave & 31st St,a3aaf7bc-a135-11e9-9cda-0a87ae2ba916,a3aaf7bc-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.80781,-87.74569,11,false,24253,Lamon Ave & 47th St,1951050538021341810,1951050538021341810,undefined,undefined
false,classic,false,41.768938,-87.652934,11,true,567,May St & 69th St,a3b24c1f-a135-11e9-9cda-0a87ae2ba916,a3b24c1f-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.8546868,-87.6308531,11,true,25001,Archer & Wentworth,2047210456672276856,2047210456672276856,undefined,undefined
false,classic,false,41.7664929373,-87.5864608775,11,true,KA1503000045,Stony Island Ave & 71st St,a3ac4a7c-a135-11e9-9cda-0a87ae2ba916,a3ac4a7c-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.73655301831962,-87.62264415621758,11,true,595,Wabash Ave & 87th St,a3b2dcf0-a135-11e9-9cda-0a87ae2ba916,a3b2dcf0-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.89546530305,-87.7061278837,11,true,KA1504000114,Kedzie Ave & Chicago Ave,a3ac9834-a135-11e9-9cda-0a87ae2ba916,a3ac9834-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.85353363213,-87.7050730318,11,true,15686,Kedzie Ave & 21st St,a3add365-a135-11e9-9cda-0a87ae2ba916,a3add365-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.965875,-87.700825,11,true,KA1504000127,Manor Ave & Leland Ave,a3af9064-a135-11e9-9cda-0a87ae2ba916,a3af9064-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.744615,-87.551208,11,true,TA1309000051,Commercial Ave & 83rd St,a3b2956a-a135-11e9-9cda-0a87ae2ba916,a3b2956a-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,42.001785,-87.688829,11,true,RP-001,Warren Park West,a3ae82e0-a135-11e9-9cda-0a87ae2ba916,a3ae82e0-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.78008063659,-87.6159428567,11,true,KA1503000053,MLK Jr Dr & 63rd St,a3ada52f-a135-11e9-9cda-0a87ae2ba916,a3ada52f-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.75182,-87.565211,11,true,579,Phillips Ave & 79th St,a3b28b4a-a135-11e9-9cda-0a87ae2ba916,a3b28b4a-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.80385,-87.73566,11,false,24258,Kilbourn Ave & 49th St,1958860132283810038,1958860132283810038,undefined,undefined
false,classic,false,41.894887,-87.774704,7,true,16921,Austin Blvd & Chicago Ave,a3b0f5c9-a135-11e9-9cda-0a87ae2ba916,a3b0f5c9-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.819102,-87.643278,11,true,KA1503000032,Union Ave & Root St,a3ad327e-a135-11e9-9cda-0a87ae2ba916,a3ad327e-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.80183164049,-87.645213904,11,true,KA1503000010,Halsted St & 51st St,a3acc649-a135-11e9-9cda-0a87ae2ba916,a3acc649-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.894745,-87.756895,7,true,642,Latrobe Ave & Chicago Ave,a3b43478-a135-11e9-9cda-0a87ae2ba916,a3b43478-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
